razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
"INSTITUTO ANIMA SOCIESC DE INOVACAO, PESQUISA E CULTURA",NÃO INFORMADO,Associação Privada,2005,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila mathias,desenvolvimento e defesa de direitos,outros
ASSOCIACAO BENEFICIENTE FAMILIAR BELEM DE CRIANCAS E ADOLESCENTES CARENTES,ABEFAC,Associação Privada,2012,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,desenvolvimento e defesa de direitos,outros
CLUBE DOS CORRETORES DE SEGUROS DA COSTA DA MATA ATLANTICA,MESMO,Associação Privada,2003,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,vila mathias,"associações patronais, profissionais e de produtores rurais",associações profissionais
ASSOCIACAO M2 NETWORK,NÃO INFORMADO,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,vila mathias,"associações patronais, profissionais e de produtores rurais",associações empresariais e patronais
FRATERNIDADE DE ALIANCA TOCA DE ASSIS,TOCA DE ASSIS,Associação Privada,2002,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,encruzilhada,religião,religião
ASSOCIACAO DOS COMBATENTES DE 1932 - DE SANTOS,NÃO INFORMADO,Associação Privada,1997,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
AFABAN - ASSOCIACAO DOS FUNCIONARIOS APOSENTADOS E PENSIONISTAS DO BANCO DO ESTADO DE SAO PAULO DA BAIXADA SANTISTA,AFABAN,Associação Privada,1997,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,boqueirao,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO PALACIO MACONICO DE SANTOS,ASSOCIACAO PALACIO PACONICO DE SANTOS,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,desenvolvimento e defesa de direitos,outros
ASSOC.CESS.MODULOS DO SPECIAL CAMPING,ACMSC,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
INSTITUTO DE PRESERVACAO E DIFUSAO DA HISTORIA DO CAFE E DA IMIGRACAO,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE CRIANCAS ESPECIAIS DE SANTOS - ACES,ESCOLA DE EDUCACAO ESPECIAL WALTER BERGAMO,Associação Privada,1998,Ensino fundamental,Ensino fundamental,campo grande,educação e pesquisa,ensino fundamental
ASSOCIACAO BRASILEIRA DE TERMINAIS DE LIQUIDOS,ABTL,Associação Privada,1998,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,vila mathias,desenvolvimento e defesa de direitos,outros
ASSOCIACAO FABRICA DE SOLIDARIEDADE,NÃO INFORMADO,Associação Privada,1998,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,morro sao bento,educação e pesquisa,educação infantil
CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE,CEUBAN,Associação Privada,1996,Educação superior - graduação,Educação superior - graduação,vila matias,educação e pesquisa; outras atividades associativas; saúde,associações de atividades não especificadas anteriormente
ASSOCIACAO PLURAL,PLURAL,Associação Privada,1999,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais","Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais",vila mathias,saúde,outros serviços de saúde
INSTITUTO OSVALDO DE ROSIS,A. B. O. R.,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ponta da praia,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO EM SANTOS,TV COM SANTOS,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,vila belmiro,desenvolvimento e defesa de direitos; outras atividades associativas,associações de atividades não especificadas anteriormente
INCATEP INSTITUTO DE CAPACITACAO TECNICA PROFISSIONAL,GRUPO INCATEP,Associação Privada,1999,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,estuario,desenvolvimento e defesa de direitos,outros
