id_osc,tx_razao_social_osc,tx_nome_fantasia_osc,cd_natureza_juridica_osc,tx_nome_natureza_juridica,ano_inicio,div_cnae20_corrigido,grp_cnae20_corrigido,clas_cnae20_corrigido,tx_nome_classe_atividade_economica,sbcl_cnae_corrigido,tx_nome_subclasse_atividade_economica,tx_bairro,edmu_cd_municipio,edmu_nm_municipio,eduf_cd_uf,eduf_sg_uf,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
540654,"INSTITUTO ANIMA SOCIESC DE INOVACAO, PESQUISA E CULTURA",,3999,Associação Privada,2005.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
590311,ASSOCIACAO BENEFICIENTE FAMILIAR BELEM DE CRIANCAS E ADOLESCENTES CARENTES,ABEFAC,3999,Associação Privada,2012.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,MACUCO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
590335,CLUBE DOS CORRETORES DE SEGUROS DA COSTA DA MATA ATLANTICA,MESMO,3999,Associação Privada,2003.0,94.0,941.0,94120.0,Atividades de organizações associativas profissionais,9412000.0,Atividades de organizações associativas profissionais,VILA MATHIAS,3548500.0,Santos,35.0,SP,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
590456,ASSOCIACAO M2 NETWORK,,3999,Associação Privada,2013.0,,,,,,,VILA MATHIAS,3548500.0,Santos,35.0,SP,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
590611,FRATERNIDADE DE ALIANCA TOCA DE ASSIS,TOCA DE ASSIS,3999,Associação Privada,2002.0,87.0,873.0,87301.0,Atividades de assistência social prestadas em residências coletivas e particulares,8730199.0,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,ENCRUZILHADA,3548500.0,Santos,35.0,SP,Religião,Religião
590823,ASSOCIACAO DOS COMBATENTES DE 1932 - DE SANTOS,,3999,Associação Privada,1997.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,CENTRO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
590916,AFABAN - ASSOCIACAO DOS FUNCIONARIOS APOSENTADOS E PENSIONISTAS DO BANCO DO ESTADO DE SAO PAULO DA BAIXADA SANTISTA,AFABAN,3999,Associação Privada,1997.0,94.0,949.0,94995.0,Atividades associativas não especificadas anteriormente,9499500.0,Atividades associativas não especificadas anteriormente,BOQUEIRAO,3548500.0,Santos,35.0,SP,Outras atividades associativas,Associações de atividades não especificadas anteriormente
590973,ASSOCIACAO PALACIO MACONICO DE SANTOS,ASSOCIACAO PALACIO PACONICO DE SANTOS,3999,Associação Privada,1998.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,MACUCO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
591042,ASSOC.CESS.MODULOS DO SPECIAL CAMPING,ACMSC,3999,Associação Privada,1998.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,CENTRO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
591155,INSTITUTO DE PRESERVACAO E DIFUSAO DA HISTORIA DO CAFE E DA IMIGRACAO,,3999,Associação Privada,1998.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,CENTRO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
591198,ASSOCIACAO DE CRIANCAS ESPECIAIS DE SANTOS - ACES,ESCOLA DE EDUCACAO ESPECIAL WALTER BERGAMO,3999,Associação Privada,1998.0,85.0,851.0,85139.0,Ensino fundamental,8513900.0,Ensino fundamental,CAMPO GRANDE,3548500.0,Santos,35.0,SP,Educação e pesquisa,Ensino fundamental
