tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
"INSTITUTO ANIMA SOCIESC DE INOVACAO, PESQUISA E CULTURA",,Associação Privada,2005.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BENEFICIENTE FAMILIAR BELEM DE CRIANCAS E ADOLESCENTES CARENTES,ABEFAC,Associação Privada,2012.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos,Outros
CLUBE DOS CORRETORES DE SEGUROS DA COSTA DA MATA ATLANTICA,MESMO,Associação Privada,2003.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO M2 NETWORK,,Associação Privada,2013.0,,,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
FRATERNIDADE DE ALIANCA TOCA DE ASSIS,TOCA DE ASSIS,Associação Privada,2002.0,Atividades de assistência social prestadas em residências coletivas e particulares,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,ENCRUZILHADA,Religião,Religião
ASSOCIACAO DOS COMBATENTES DE 1932 - DE SANTOS,,Associação Privada,1997.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
AFABAN - ASSOCIACAO DOS FUNCIONARIOS APOSENTADOS E PENSIONISTAS DO BANCO DO ESTADO DE SAO PAULO DA BAIXADA SANTISTA,AFABAN,Associação Privada,1997.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO PALACIO MACONICO DE SANTOS,ASSOCIACAO PALACIO PACONICO DE SANTOS,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MACUCO,Desenvolvimento e defesa de direitos,Outros
ASSOC.CESS.MODULOS DO SPECIAL CAMPING,ACMSC,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
INSTITUTO DE PRESERVACAO E DIFUSAO DA HISTORIA DO CAFE E DA IMIGRACAO,,Associação Privada,1998.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
